T,id,x,y,z
773.15,0,1,1,0
758.15000000063,1,1,1,0.001
728.15000000123,2,1,1,0.003
698.15000000116,3,1,1,0.005
668.15000000142,4,1,1,0.007
638.15000000176,5,1,1,0.009
608.15000000132,6,1,1,0.011
578.15000000016,7,1,1,0.013
548.14999999971,8,1,1,0.015
518.15000000012,9,1,1,0.017
488.15000000015,10,1,1,0.019
473.15,11,1,1,0.02
